trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
10000070,07:41:00,07:41:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10008070,23:03:00,23:03:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
10014010,12:43:00,12:43:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10035020,21:45:00,21:45:00,29,9,MONROEVILLE TO CCAC BOYCE,0,0,5179.67,1
10042010,14:44:00,14:44:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10071010,14:30:00,14:30:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10072080,09:02:00,09:02:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10087010,17:44:00,17:44:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10096070,09:59:00,09:59:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10106080,19:59:00,19:59:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10117020,07:18:00,07:18:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
10121020,16:04:00,16:04:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
10133080,15:03:00,15:03:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
10193020,21:45:00,21:45:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
10224020,13:56:00,13:56:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10232010,11:00:00,11:00:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10252070,19:03:00,19:03:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
10287020,09:49:00,09:49:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
10289070,14:18:15,14:18:15,7639,71,HOMEWOOD-SQUIRREL HILL TO MURRAY-FORBES,0,0,12655.27,0
1029020,07:36:00,07:36:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10298020,13:25:00,13:25:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
10342020,15:38:32,15:38:32,29,45,GREENFIELD TO CARNEGIE MELLON,0,0,13941.39,0
1035020,21:45:00,21:45:00,29,9,TRAFFORD TO FORBES HOSPITAL,0,0,5179.67,1
10375080,19:24:00,19:24:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
10381070,18:44:00,18:44:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10392080,15:44:00,15:44:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10401080,17:11:00,17:11:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
1041020,18:41:05,18:41:05,7639,82,TRAFFORD TO DOWNTOWN VIA OAKLAND,0,0,29513.59,0
10415080,16:39:00,16:39:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
10426070,09:21:00,09:21:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
10429070,23:48:00,23:48:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
10438070,17:10:00,17:10:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10441080,18:29:00,18:29:00,29,18,NORTH BRADDOCK TO NORTH BRADDOCK,0,0,4434.51,1
10447070,23:10:00,23:10:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10489080,23:12:00,23:12:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
10498070,14:57:00,14:57:00,29,23,AIRPORT FLYER TO DOWNTOWN & OAKLAND,0,0,39614.03,1
10500020,21:51:57,21:51:57,7639,71,HOMEWOOD-SQUIRREL HILL TO BEECHWOOD-TILBURY,0,0,12655.27,0
10506070,21:42:00,21:42:00,29,18,BRADDOCK-SWISSVALE TO NORTH BRADDOCK,0,0,4434.51,1
10518020,14:26:00,14:26:00,29,9,MURRAY SHORT TO WATERFRONT,0,0,1573.71,1
10534010,12:07:00,12:07:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
10546070,16:15:00,16:15:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
1055020,15:24:00,15:24:00,29,18,MCKEESPORT HOMESTEAD TO MCKEESPORT,0,0,4431.48,1
